t,precision@5,ndcg@5,map@5,recall@5,precision@10,ndcg@10,map@10,recall@10,precision@15,ndcg@15,map@15,recall@15
2022-11-03,0.4176470588235294,1.0,0.954750483080933,0.954750483080933,0.2448529411764706,1.0,0.9882824787669078,0.9882824787669078,0.17401960784313728,1.0,0.9991349480968857,0.9991349480968857
2022-11-10,0.48400000000000004,1.0,0.9340706787765611,0.9340706787765611,0.2953333333333334,1.0,0.9893582887700533,0.9893582887700533,0.20577777777777778,1.0,0.9984313725490195,0.9984313725490195
2022-11-17,0.3990950226244345,1.0,0.9633977133977135,0.9633977133977135,0.22805429864253396,1.0,0.9995886466474702,0.9995886466474702,0.15233785822021118,1.0,1.0,1.0
2022-11-24,0.5121693121693123,1.0,0.9165917825315414,0.9165917825315414,0.31798941798941804,1.0,0.974927917124895,0.974927917124895,0.23104056437389767,1.0,0.991695904991372,0.991695904991372
2022-12-01,0.3590909090909091,1.0,0.9728760822510822,0.9728760822510822,0.2,1.0,0.9974747474747474,0.9974747474747474,0.13522727272727272,1.0,0.9990530303030304,0.9990530303030304
2022-12-08,0.4912280701754387,1.0,0.9211525342272513,0.9211525342272513,0.3087719298245614,1.0,0.9806196047953546,0.9806196047953546,0.2213450292397661,1.0,0.9950839806897106,0.9950839806897106
2022-12-15,0.5094736842105264,1.0,0.9066321943450427,0.9066321943450427,0.3305263157894737,1.0,0.9800354830927587,0.9800354830927587,0.23649122807017545,1.0,0.9975480981866431,0.9975480981866431
2022-12-22,0.5846153846153846,1.0,0.8528724107089491,0.8528724107089491,0.4111538461538462,1.0,0.9662149068879837,0.9662149068879837,0.29846153846153844,1.0,0.9872296453546454,0.9872296453546454
2022-12-29,0.45764705882352946,1.0,0.9276712666418548,0.9276712666418548,0.28588235294117653,1.0,0.9826301149830563,0.9826301149830563,0.20352941176470585,1.0,0.9953781512605042,0.9953781512605042
2023-01-05,0.4448717948717949,1.0,0.9666621661813969,0.9666621661813969,0.24807692307692308,1.0,0.9956208321592936,0.9956208321592936,0.1692307692307692,1.0,1.0,1.0
2023-01-12,0.45604395604395603,1.0,0.9632718472004187,0.9632718472004187,0.25439560439560444,1.0,1.0,1.0,0.1695970695970696,1.0,1.0,1.0
2023-01-19,0.4771784232365146,1.0,0.9608032009484292,0.9608032009484292,0.26473029045643154,1.0,1.0,1.0,0.17648686030428767,1.0,1.0,1.0
2023-01-26,0.484,1.0,0.9811111111111113,0.9811111111111113,0.25333333333333335,1.0,1.0,1.0,0.16888888888888887,1.0,1.0,1.0
2023-02-02,0.41492537313432837,1.0,0.9868909421148229,0.9868909421148229,0.21641791044776118,1.0,1.0,1.0,0.14427860696517414,1.0,1.0,1.0
2023-02-09,0.5606557377049182,1.0,0.9699453551912568,0.9699453551912568,0.298360655737705,1.0,1.0,1.0,0.19890710382513657,1.0,1.0,1.0
2023-02-16,0.4550561797752809,1.0,0.9800974228642768,0.9800974228642768,0.24101123595505622,1.0,1.0,1.0,0.16067415730337078,1.0,1.0,1.0
2023-02-23,0.3084112149532712,1.0,1.0,1.0,0.1542056074766356,1.0,1.0,1.0,0.102803738317757,1.0,1.0,1.0
2023-03-02,0.5078651685393258,1.0,0.9401863741751381,0.9401863741751381,0.301123595505618,1.0,1.0,1.0,0.20074906367041198,1.0,1.0,1.0
2023-03-09,0.5547008547008547,1.0,0.9034804885230583,0.9034804885230583,0.3555555555555555,1.0,0.9824290275141668,0.9824290275141668,0.250997150997151,1.0,0.9978276904553993,0.9978276904553993
2023-03-16,0.5009345794392525,1.0,0.9557094644711467,0.9557094644711467,0.2836448598130841,1.0,0.9992211838006231,0.9992211838006231,0.18971962616822427,1.0,1.0,1.0
2023-03-23,0.4697674418604652,1.0,0.9418743939092777,0.9418743939092777,0.2810077519379845,1.0,0.995613559567048,0.995613559567048,0.19095607235142117,1.0,1.0,1.0
2023-03-30,0.5004608294930876,1.0,0.9034694146851914,0.9034694146851914,0.32534562211981566,1.0,0.976787413965511,0.976787413965511,0.23533026113671274,1.0,0.9935732357459114,0.9935732357459114
2023-04-06,0.6153256704980842,1.0,0.8262314073250516,0.8262314073250516,0.4521072796934866,1.0,0.9564523542718268,0.9564523542718268,0.33818646232439337,1.0,0.9969151453684922,0.9969151453684922
2023-04-13,0.5949044585987262,1.0,0.901269201428437,0.901269201428437,0.3777070063694268,1.0,0.9852297384144519,0.9852297384144519,0.2645435244161359,1.0,0.9992038216560509,0.9992038216560509
2023-04-20,0.48571428571428577,1.0,0.9560279575558415,0.9560279575558415,0.27705627705627706,1.0,0.9893939210211173,0.9893939210211173,0.19278499278499278,1.0,0.9969654528478058,0.9969654528478058
2023-04-27,0.40595238095238106,1.0,0.950363541881399,0.950363541881399,0.24523809523809526,1.0,0.9949494949494948,0.9949494949494948,0.16746031746031745,1.0,1.0,1.0
2023-05-04,0.5437037037037038,1.0,0.8973976640643307,0.8973976640643307,0.35629629629629633,1.0,0.9867412422967978,0.9867412422967978,0.24888888888888885,1.0,0.9987654320987653,0.9987654320987653
2023-05-11,0.4431654676258993,1.0,0.9630844774729665,0.9630844774729665,0.25251798561151084,1.0,0.9983397897066962,0.9983397897066962,0.1697841726618705,1.0,1.0,1.0
2023-05-18,0.5952662721893491,1.0,0.85649552827979,0.85649552827979,0.4118343195266272,1.0,0.9577783205776135,0.9577783205776135,0.3092702169625247,1.0,0.9915903686295447,0.9915903686295447
2023-05-25,0.43114754098360664,1.0,0.9474884913650585,0.9474884913650585,0.2581967213114754,1.0,0.9902801313119539,0.9902801313119539,0.18032786885245905,1.0,0.9990356798457087,0.9990356798457087
2023-06-01,0.5227722772277229,1.0,0.9743474347434743,0.9743474347434743,0.2841584158415842,1.0,0.9981998199819981,0.9981998199819981,0.19075907590759075,1.0,1.0,1.0
2023-06-08,0.49661016949152564,1.0,0.9538438256658595,0.9538438256658595,0.28559322033898316,1.0,0.9971751412429379,0.9971751412429379,0.19265536723163842,1.0,1.0,1.0
2023-06-15,0.5060606060606061,1.0,0.9505935983208711,0.9505935983208711,0.2924242424242425,1.0,0.9967860422405879,0.9967860422405879,0.19747474747474744,1.0,1.0,1.0
2023-06-22,0.42162162162162165,1.0,0.967602920727921,0.967602920727921,0.23648648648648654,1.0,0.995292714042714,0.995292714042714,0.1617117117117117,1.0,0.9995777027027027,0.9995777027027027
2023-06-29,0.4392523364485983,1.0,0.9942145082331998,0.9942145082331998,0.22336448598130845,1.0,1.0,1.0,0.14890965732087225,1.0,1.0,1.0
2023-07-06,0.491566265060241,1.0,0.9111622010834961,0.9111622010834961,0.31485943775100406,1.0,0.974472677809244,0.974472677809244,0.22998661311914326,1.0,0.993410247210277,0.993410247210277
2023-07-13,0.4366197183098592,1.0,0.957890163435938,0.957890163435938,0.2521126760563381,1.0,0.987097116498525,0.987097116498525,0.17981220657276994,1.0,0.9995598591549296,0.9995598591549296
